report_id,report_name,topic,json_path,file_path,pages,text_length
Rwanda_Cash_based_transfers_on_food_security_and_g,Rwanda_Cash_based_transfers_on_food_security_and_g.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Rwanda_Cash_based_transfers_on_food_security_and_g.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/Rwanda_Cash_based_transfers_on_food_security_and_g.pdf,90,210888
WFP_Global_Artificial_Intelligence_Strategy_2025_2,WFP_Global_Artificial_Intelligence_Strategy_2025_2.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Global_Artificial_Intelligence_Strategy_2025_2.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/WFP_Global_Artificial_Intelligence_Strategy_2025_2.pdf,40,71192
WFP_Global_Data_Strategy_2024_2026,WFP_Global_Data_Strategy_2024_2026.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Global_Data_Strategy_2024_2026.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/WFP_Global_Data_Strategy_2024_2026.pdf,28,50479
Ethiopia_Endline_Evaluation_of_Satellite_Index_Ins,Ethiopia_Endline_Evaluation_of_Satellite_Index_Ins.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Ethiopia_Endline_Evaluation_of_Satellite_Index_Ins.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/Ethiopia_Endline_Evaluation_of_Satellite_Index_Ins.pdf,157,371140
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,2024_Climatic_Disaster_Risk_Assessment_in_Cambodia.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/2024_Climatic_Disaster_Risk_Assessment_in_Cambodia.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/2024_Climatic_Disaster_Risk_Assessment_in_Cambodia.pdf,34,63633
Innovation_Advisory_Services_LACRO,Innovation_Advisory_Services_LACRO.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Innovation_Advisory_Services_LACRO.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/Innovation_Advisory_Services_LACRO.pdf,3,5558
WFP_Information_and_Technology_Strategy_2023_26,WFP_Information_and_Technology_Strategy_2023_26.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Information_and_Technology_Strategy_2023_26.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/WFP_Information_and_Technology_Strategy_2023_26.pdf,48,103604
2023_South_South_and_Triangular_Cooperation_Innova,2023_South_South_and_Triangular_Cooperation_Innova.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/2023_South_South_and_Triangular_Cooperation_Innova.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/2023_South_South_and_Triangular_Cooperation_Innova.pdf,28,46038
Thematic_Fact_Sheets_Philippines,Thematic_Fact_Sheets_Philippines.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Thematic_Fact_Sheets_Philippines.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/Thematic_Fact_Sheets_Philippines.pdf,2,4670
Mid_term_Evaluation_of_WFP_s_Private_Sector_Partne,Mid_term_Evaluation_of_WFP_s_Private_Sector_Partne.pdf,Innovation,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Mid_term_Evaluation_of_WFP_s_Private_Sector_Partne.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Innovation/Mid_term_Evaluation_of_WFP_s_Private_Sector_Partne.pdf,78,235498
Security_Risk_Assessment_and_Security_Management_P,Security_Risk_Assessment_and_Security_Management_P.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Security_Risk_Assessment_and_Security_Management_P.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Security_Risk_Assessment_and_Security_Management_P.pdf,2,1772
The_role_of_clean_energy_in_food_value_chains,The_role_of_clean_energy_in_food_value_chains.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/The_role_of_clean_energy_in_food_value_chains.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/The_role_of_clean_energy_in_food_value_chains.pdf,9,22553
WFP_Indigenous_Peoples_Portfolio_Factsheet,WFP_Indigenous_Peoples_Portfolio_Factsheet.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Indigenous_Peoples_Portfolio_Factsheet.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/WFP_Indigenous_Peoples_Portfolio_Factsheet.pdf,2,4589
Building_and_maintaining_social_protection_systems,Building_and_maintaining_social_protection_systems.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Building_and_maintaining_social_protection_systems.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Building_and_maintaining_social_protection_systems.pdf,3,8009
Social_Assessment_and_Social_Development_Plan_Suda,Social_Assessment_and_Social_Development_Plan_Suda.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Social_Assessment_and_Social_Development_Plan_Suda.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Social_Assessment_and_Social_Development_Plan_Suda.pdf,50,95771
Labour_Management_Procedures,Labour_Management_Procedures.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Labour_Management_Procedures.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Labour_Management_Procedures.pdf,31,44003
Prevention_of_Sexual_Exploitation_and_Abuse_Sexual,Prevention_of_Sexual_Exploitation_and_Abuse_Sexual.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Prevention_of_Sexual_Exploitation_and_Abuse_Sexual.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Prevention_of_Sexual_Exploitation_and_Abuse_Sexual.pdf,3,2887
Summary_of_evaluation_evidence_WFP_s_budget_revisi,Summary_of_evaluation_evidence_WFP_s_budget_revisi.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Summary_of_evaluation_evidence_WFP_s_budget_revisi.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Summary_of_evaluation_evidence_WFP_s_budget_revisi.pdf,3,9662
Disability_Inclusive_Early_Warning_Messages_in_Lao,Disability_Inclusive_Early_Warning_Messages_in_Lao.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Disability_Inclusive_Early_Warning_Messages_in_Lao.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Disability_Inclusive_Early_Warning_Messages_in_Lao.pdf,31,30491
Delivering_shock_responsive_social_protection_in_t,Delivering_shock_responsive_social_protection_in_t.pdf,Programme_design,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Delivering_shock_responsive_social_protection_in_t.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Programme_design/Delivering_shock_responsive_social_protection_in_t.pdf,4,12429
Annual_country_reports_-_Benin_-_2023_BJ02,Annual_country_reports_-_Benin_-_2023_BJ02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Benin_-_2023_BJ02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Benin_-_2023_BJ02.pdf,67,146411
WFP_Annual_Review,WFP_Annual_Review.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Annual_Review.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/WFP_Annual_Review.pdf,27,24215
Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2024_BO03,Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2024_BO03.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2024_BO03.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2024_BO03.pdf,58,121730
A_lifeline_at_risk_food_assistance_at_a_breaking_p,A_lifeline_at_risk_food_assistance_at_a_breaking_p.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/A_lifeline_at_risk_food_assistance_at_a_breaking_p.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/A_lifeline_at_risk_food_assistance_at_a_breaking_p.pdf,14,20749
Annual_country_reports_-_Burundi_-_2023_BI02,Annual_country_reports_-_Burundi_-_2023_BI02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Burundi_-_2023_BI02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Burundi_-_2023_BI02.pdf,102,223677
Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2023_BO03,Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2023_BO03.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2023_BO03.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2023_BO03.pdf,55,102462
Annual_country_reports_-_Algeria_-_2020_DZ02,Annual_country_reports_-_Algeria_-_2020_DZ02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Algeria_-_2020_DZ02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Algeria_-_2020_DZ02.pdf,45,89821
Annual_country_reports_-_Burundi_-_2024_BI03,Annual_country_reports_-_Burundi_-_2024_BI03.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Burundi_-_2024_BI03.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Burundi_-_2024_BI03.pdf,115,255616
