report_id,topic_rank,topic,similarity
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,1,Cash_transfers,0.5847
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,2,Food_Assistance,0.5069
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,3,Food_Assistance_for_Assets,0.463
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,4,Energy_for_food_security,0.4592
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,5,Zero_Hunger,0.4314
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,6,Information_Technology_and_Telecommunications_in_Emergencies,0.413
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,7,Food_security_analysis,0.4034
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,8,Food_systems,0.3963
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,9,Humanitarian_Support_and_Services,0.3882
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,10,Food_Security_Cluster,0.3874
2019_WFPFITTEST_Security_Telecommunications_Servic,1,Information_Technology_and_Telecommunications_in_Emergencies,0.5847
2019_WFPFITTEST_Security_Telecommunications_Servic,2,Humanitarian_Support_and_Services,0.5632
2019_WFPFITTEST_Security_Telecommunications_Servic,3,UN_Humanitarian_Air_Service,0.5279
2019_WFPFITTEST_Security_Telecommunications_Servic,4,Emergency_relief,0.4421
2019_WFPFITTEST_Security_Telecommunications_Servic,5,Emergencies,0.4269
2019_WFPFITTEST_Security_Telecommunications_Servic,6,Emergency_Preparedness_and_Response,0.4253
2019_WFPFITTEST_Security_Telecommunications_Servic,7,UN_agencies_and_international_institutions,0.3982
2019_WFPFITTEST_Security_Telecommunications_Servic,8,The_R4_Rural_Resilience_Initiative,0.3644
2019_WFPFITTEST_Security_Telecommunications_Servic,9,Monitoring,0.3557
2019_WFPFITTEST_Security_Telecommunications_Servic,10,Food_Security_Cluster,0.3527
2021_Agricultural_Insurance_Digital_Payments_Chall,1,The_R4_Rural_Resilience_Initiative,0.6174
