report_id,final_tags
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,"['Information_Technology_and_Telecommunications_in_Emergencies', 'Cash_transfers', 'Zero_Hunger', 'Humanitarian_Support_and_Services', 'Food_Assistance', 'Food_Assistance_for_Assets', 'Food_Security_Cluster', 'Food_systems', 'Food_security_analysis', 'Energy_for_food_security']"
2019_WFPFITTEST_Security_Telecommunications_Servic,"['Emergencies', 'Information_Technology_and_Telecommunications_in_Emergencies', 'Emergency_Preparedness_and_Response', 'Humanitarian_Support_and_Services', 'Monitoring', 'Emergency_relief', 'Food_Security_Cluster', 'The_R4_Rural_Resilience_Initiative', 'UN_Humanitarian_Air_Service', 'UN_agencies_and_international_institutions']"
2021_Agricultural_Insurance_Digital_Payments_Chall,"['The_R4_Rural_Resilience_Initiative', 'Climate_risk_management_insurance_and_financing', 'Information_Technology_and_Telecommunications_in_Emergencies', 'Seasonal_and_agricultural_monitoring', 'Climate_change_adaptation', 'Partnerships', 'Procurement', 'Cash_transfers', 'Resilience_building', 'Programme_design']"
2021_Protection_and_Accountability_Handbook,"['Social_Protection_and_Safety_Nets', 'Climate_change_adaptation', 'Analyses_and_assessments', 'Country_strategic_planning', 'Humanitarian_Support_and_Services', 'Sustainable_development_goals', 'Food_Assistance', 'Cash_transfers', 'Food_security_analysis', 'Energy_for_food_security']"
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,"['Climate_risk_management_insurance_and_financing', 'Food_Assistance_for_Assets', 'The_R4_Rural_Resilience_Initiative', 'Smallholder_agricultural_market_support', 'Food_safety_and_quality', 'Seasonal_and_agricultural_monitoring', 'Climate_services', 'Climate_change_adaptation', 'Food_security_analysis', 'Energy_for_food_security']"
2021_WFP_Community_Engagement_Strategy_for_Account,"['Social_Protection_and_Safety_Nets', 'Partnerships', 'Governance_and_leadership', 'Environmental_and_social_sustainability', 'Emergency_Preparedness_and_Response', 'Monitoring_evaluation_and_learning', 'Humanitarian_Support_and_Services', 'Food_security_analysis', 'Food_safety_and_quality']"
2022_Economic_Impact_Assessment_of_World_Food_Prog,"['Environmental_and_social_sustainability', 'Country_Capacity_Strengthening', 'Humanitarian_Support_and_Services', 'Climate_change_adaptation', 'Procurement', 'Cash_transfers', 'Climate_action', 'Logistics_and_delivery_networks', 'UN_Humanitarian_Air_Service']"
2022_Linking_Nutrition_and_Social_Protection_in_We,"['Nutrition', 'Social_Protection_and_Safety_Nets', 'Food_security_analysis', 'Food_fortification', 'Programme_design', 'Specialized_nutritious_food', 'Cash_transfers', 'School_meals', 'The_R4_Rural_Resilience_Initiative', 'Energy_for_food_security']"
2022_Procurement_Infographic,"['Market_analysis', 'Corporate_strategy']"
2022_Western_Africa_Annual_Achievements,"['Country_Capacity_Strengthening', 'Monitoring_evaluation_and_learning', 'Humanitarian_Support_and_Services', 'The_R4_Rural_Resilience_Initiative', 'Resilience_programming', 'Resilience_building', 'Food_safety_and_quality', 'Funding_and_donors', 'School_meals', 'Food_security_analysis']"
2023_A_Year_in_Review_For_WFP_Operations_across_th,"['The_R4_Rural_Resilience_Initiative', 'Emergency_Preparedness_and_Response', 'Food_security_analysis', 'Country_strategic_planning', 'Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Food_Assistance', 'Resilience_building', 'Partnerships', 'Sustainable_livelihoods_and_ecosystems']"
2023_Addressing_Irregular_Migration_through_Princi,"['Migration', 'Humanitarian_Support_and_Services', 'Food_safety_and_quality', 'Nutrition', 'Food_Assistance', 'Food_systems', 'Food_security_analysis', 'Climate_change_adaptation', 'Energy_for_food_security', 'Food_Security_Cluster']"
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,"['The_R4_Rural_Resilience_Initiative', 'Climate_risk_management_insurance_and_financing', 'Climate_change_adaptation', 'Resilience_building', 'Smallholder_agricultural_market_support', 'Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'UN_agencies_and_international_institutions', 'Partnerships', 'Sustainable_development_goals']"
2023_Conflict_Sensitivity_Mainstreaming_Strategy,"['Analyses_and_assessments', 'Food_security_analysis', 'Country_Capacity_Strengthening', 'Conflicts', 'Procurement', 'Resilience_programming', 'Partnerships', 'Humanitarian_Support_and_Services', 'Supply_chain', 'Funding_and_donors']"
2023_HIV_year_in_review,"['Nutrition', 'Emergency_Preparedness_and_Response', 'Humanitarian_Support_and_Services', 'Food_security_analysis', 'HIV_and_tuberculosis', 'Food_fortification', 'Food_Assistance', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets', 'Energy_for_food_security']"
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,"['Country_Capacity_Strengthening', 'Food_Assistance_for_Assets', 'Food_security_analysis', 'Food_Assistance', 'The_R4_Rural_Resilience_Initiative', 'Social_Protection_and_Safety_Nets', 'In_kind_food_distribution', 'Energy_for_food_security', 'Food_safety_and_quality', 'Nutrition']"
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,"['Food_systems', 'Supply_chain', 'Climate_risk_management_insurance_and_financing', 'Food_Assistance', 'Partnerships', 'Logistics_and_delivery_networks', 'Specialized_nutritious_food', 'Nutrition', 'The_R4_Rural_Resilience_Initiative', 'Energy_for_food_security']"
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,"['Humanitarian_Support_and_Services', 'Emergency_Preparedness_and_Response', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance', 'Procurement', 'Smallholder_agricultural_market_support', 'Resilience_building', 'Food_security_analysis', 'Gender_equality', 'Zero_Hunger']"
2023_Procurement_Infographic,[]
2023_R4_Rural_Resilience_Initiative_Factsheet,"['The_R4_Rural_Resilience_Initiative', 'Climate_risk_management_insurance_and_financing', 'Gender_equality', 'Resilience_programming', 'Resilience_building', 'Sustainable_livelihoods_and_ecosystems', 'Food_security_analysis', 'Food_safety_and_quality', 'Energy_for_food_security', 'Food_Assistance']"
2023_South_South_and_Triangular_Cooperation_Innova,"['Monitoring', 'Nutrition', 'Sustainable_livelihoods_and_ecosystems', 'Food_security_analysis', 'The_R4_Rural_Resilience_Initiative', 'Sustainable_development_goals', 'South_South_cooperation', 'School_meals', 'Seasonal_and_agricultural_monitoring', 'Food_safety_and_quality']"
2023_South_South_and_Triangular_Cooperation_policy,"['Partnerships', 'Country_Capacity_Strengthening', 'Innovation', 'South_South_cooperation', 'Funding_and_donors', 'Emergency_Preparedness_and_Response', 'Sustainable_development_goals', 'Gender_equality', 'School_meals']"
2023_Testing_the_Acceptability_and_Organoleptic_Qu,"['Food_Assistance', 'Food_Assistance_for_Assets', 'Specialized_nutritious_food', 'Food_fortification', 'Nutrition', 'School_meals', 'Food_systems', 'Smallholder_agricultural_market_support', 'Food_security_analysis', 'Food_safety_and_quality']"
2023_WFP_Engineering_two_pager,"['Engineering_services', 'Rome_based_agencies', 'Emergencies', 'Humanitarian_Support_and_Services', 'Emergency_Preparedness_and_Response', 'Food_safety_and_quality']"
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,"['Resilience_programming', 'Nutrition', 'Emergency_Preparedness_and_Response', 'Resilience_building', 'Food_security_analysis', 'Partnerships', 'Humanitarian_Support_and_Services', 'Private_sector', 'Smallholder_agricultural_market_support', 'The_R4_Rural_Resilience_Initiative']"
2024_A_Year_in_Review_Pathways_to_Change,"['In_kind_food_distribution', 'Humanitarian_Support_and_Services', 'Social_Protection_and_Safety_Nets', 'Emergencies', 'Resilience_programming', 'UN_agencies_and_international_institutions', 'The_R4_Rural_Resilience_Initiative', 'Resilience_building', 'Emergency_Preparedness_and_Response', 'UN_Humanitarian_Air_Service']"
2024_Anticipatory_Cash_Technical_Guidance,"['Anticipatory_Action', 'Emergency_Preparedness_and_Response', 'Cash_transfers', 'The_R4_Rural_Resilience_Initiative', 'Local_market_developments', 'Climate_action', 'Climate_change_adaptation', 'Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Emergency_relief']"
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,"['Seasonal_and_agricultural_monitoring', 'The_R4_Rural_Resilience_Initiative', 'Emergency_Preparedness_and_Response', 'Food_Assistance_for_Assets', 'Climate_change_adaptation', 'Climate_risk_management_insurance_and_financing', 'Sustainable_livelihoods_and_ecosystems', 'Nutrition', 'Food_security_analysis', 'Resilience_building']"
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,"['Emergencies', 'Analyses_and_assessments', 'Emergency_Preparedness_and_Response', 'Emergency_relief', 'Supply_chain', 'The_R4_Rural_Resilience_Initiative', 'Humanitarian_Support_and_Services', 'UN_Humanitarian_Air_Service', 'Zero_Hunger', 'Energy_for_food_security']"
2024_Innovative_Solutions_to_Climate_Change_Adapta,"['Resilience_programming', 'Monitoring', 'Humanitarian_Support_and_Services', 'Gender_equality', 'Social_Protection_and_Safety_Nets', 'Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Resilience_building', 'Partnerships', 'Food_Assistance']"
2024_Maximizing_impact_the_intersection_of_social_,"['Resilience_programming', 'Resilience_building', 'Sustainable_livelihoods_and_ecosystems', 'Social_Protection_and_Safety_Nets', 'UN_agencies_and_international_institutions', 'The_R4_Rural_Resilience_Initiative', 'Food_security_analysis', 'Sustainable_development_goals', 'Food_systems', 'Energy_for_food_security']"
2024_Mid_Year_Overview_Egypt_Country_Office,"['Food_Assistance', 'Humanitarian_Support_and_Services', 'Cash_transfers', 'Food_Assistance_for_Assets', 'Smallholder_agricultural_market_support', 'Gender_equality']"
2024_Procurement_Infographics,"['Emergency_relief', 'Smallholder_agricultural_market_support', 'Emergency_Preparedness_and_Response']"
2024_The_Impacts_of_WFP_s_Integrated_Climate_Risk_,"['Nutrition', 'The_R4_Rural_Resilience_Initiative', 'Specialized_nutritious_food', 'Food_safety_and_quality', 'Food_security_analysis', 'Food_systems', 'Energy_for_food_security', 'Food_Assistance_for_Assets', 'Resilience_building', 'Climate_services']"
2024_The_global_food_and_economic_crisis_impact_on,"['Food_Assistance_for_Assets', 'Food_Assistance', 'Food_systems', 'Nutrition', 'Food_Security_Cluster', 'In_kind_food_distribution', 'Food_security_analysis', 'Seasonal_and_agricultural_monitoring', 'Food_safety_and_quality']"
2024_Typhoon_Season_WFP_Philippines_Response_Repor,"['Humanitarian_Support_and_Services', 'Emergency_Preparedness_and_Response', 'Emergency_relief', 'Emergencies', 'Food_security_analysis', 'Information_Technology_and_Telecommunications_in_Emergencies', 'Food_safety_and_quality', 'Cash_transfers', 'UN_Humanitarian_Air_Service', 'Energy_for_food_security']"
2024_Women_s_Empowerment_In_Agriculture_Index_WEAI,"['Analyses_and_assessments', 'The_R4_Rural_Resilience_Initiative', 'Food_security_analysis', 'Smallholder_agricultural_market_support', 'Food_systems', 'Sustainable_livelihoods_and_ecosystems', 'Food_Assistance_for_Assets', 'Seasonal_and_agricultural_monitoring']"
2025_Anticipatory_Action_Learning_and_validation_R,"['Analyses_and_assessments', 'Humanitarian_Support_and_Services', 'Anticipatory_Action', 'Emergencies', 'The_R4_Rural_Resilience_Initiative', 'Emergency_Preparedness_and_Response', 'Partnerships', 'Social_Protection_and_Safety_Nets', 'Resilience_building', 'Emergency_relief']"
2025_Climate_Services_Accelerator_Programme,"['Gender_equality', 'Climate_services', 'Partnerships', 'Climate_change_adaptation', 'Emergency_Preparedness_and_Response', 'Climate_action', 'Sustainable_development_goals', 'Programme_design', 'Humanitarian_Support_and_Services']"
