report_id,row_id,clean_sentence,sentence_embeddings
2019_WFPFITTEST_Cash_based_transfers_and_SCOPE,388,"['Over the past decade, the World Food Programme has been using cash transfers more often alongside food deliveries to provide assistance to people in need.', 'Key beneficiary data is registered through SCOPE, the World Food Programme’s digital beneficiary identity and transfer management platform.', 'In places where markets are functioning and local conditions are favorable, cash-based transfers are an effective tool to accelerate progress towards Zero Hunger.', 'They help to reduce the cost of providing food assistance, thereby maximizing the number of people who can be reached.', 'FITTEST SUPPORT FOR CASH-BASED TRANSFERS The World Food Programme’s Fast IT & Telecommunications Emergency Support Team (FITTEST) has supported emergency operations for the last 20 years by establishing IT networks and connectivity services for the wider humanitarian community.', 'FITTEST can support operational scale-up requirements by quickly deploying qualified staff.This includes experienced operational project managers who can work in challenging environments and ICT specialists who can deploy, install and maintain cash-based transfer IT solutions.', 'The United Nations World Food Programme Fast IT & Telecommunications Emergency & Support Team (WFP FITTEST) is composed of IT Emergency Preparedness and Response specialists that support the humanitarian community in providing reliable and innovative technology services in some of the world’s most challenging environments.']","[[-2.4137398e-02 -2.9482448e-03  1.9571239e-02 ... -5.3515922e-02
   5.4203765e-03 -5.3112574e-02]
 [-2.8004857e-02 -2.4660911e-02 -3.3630215e-02 ... -3.2237433e-02
  -2.5756104e-02 -9.6818201e-02]
 [ 1.1833155e-03  1.7380485e-02 -2.6098236e-02 ... -1.7747184e-02
  -3.8795717e-02 -1.2407529e-02]
 ...
 [-6.2802285e-02 -1.7619476e-02  3.5229553e-02 ... -7.3222712e-02
   3.4863506e-02 -3.1515304e-02]
 [-2.7470171e-02 -3.3864420e-02  2.2747587e-02 ... -3.3432994e-02
   6.2294193e-02  1.4713329e-02]
 [ 1.0003755e-02 -3.5313580e-02  1.0382283e-02 ... -6.9992580e-02
   6.0857784e-02  2.9522902e-05]]"
2019_WFPFITTEST_Security_Telecommunications_Servic,381,"['FITTEST is supporting the country-level implementation of TESS, an inter-agency project to standardize security telecommunications across connectivity, applications and procedures.', 'TESS is hosted and coordinated by the World Food Programme (WFP) in cooperation with other UN agencies, UNDSS and the Emergency Telecommunications Cluster.', 'FITTEST is able to tailor training sessions to support the provision of services in the field such as security telecommunications.', 'For instance, Let’s Comm Digital is a five-day training course, which provides humanitarian ICT staff with the skills to deploy digital radio infrastructure.', 'The United Nations World Food Programme Fast IT & Telecommunications Emergency & Support Team (WFP FITTEST) is composed of IT Emergency Preparedness and Response specialists that support the humanitarian community in providing reliable and innovative technology services in some of the world’s most challenging environments.', 'Humanitarian organizations are encouraged to follow UNDSS Emergency Communications System recommendations in-country.', 'A 2017 report from the Global System for Mobile Communications Association (GSMA) highlighted that 65% of the world’s population has a mobile subscription.', 'As mobile phones are increasingly used worldwide, humanitarian staff can now count on additional tools and applications to carry out their life-saving activities and to support their own safety.', 'At the onset of an emergency when communication infrastructure is affected, the only way to communicate is often through satellite systems.', 'Portable satellite devices such as satphones provide reliable communication links where landlines or mobile phone connections are unavailable, unreliable or destroyed.', 'In remote places where mobile phone network coverage is unreliable or absent, humanitarians depend on radio communications to allow them to carry out their operations in a secure, safe and effective manner.', 'Security radio technology has changed over the years.', 'Enhanced tracking of staff and assets in the field can also be supported through systems such as FITTEST Location Services.', 'Location Services is an all-in-one security solution - from tracking, to alerting and data collection, all the relevant information to create a common operational picture and achieve situational awareness is recorded and available in real-time.', 'Through Location Services, critical details about the locations of staff and assests at each moment are easily visualized, facilitating decision-making in challenging situations when the lives of humanitarians might be at stake.']","[[-0.07033002 -0.02256424 -0.00044681 ... -0.04130701 -0.00317046
  -0.01614022]
 [-0.05413708 -0.05308753 -0.00757786 ... -0.08220685 -0.00094902
  -0.03265732]
 [-0.10082097 -0.00430411 -0.01313765 ...  0.0055032   0.02595994
  -0.02063135]
 ...
 [ 0.00940823 -0.04423393 -0.05354769 ... -0.01256851  0.02133381
   0.06084968]
 [-0.02457704 -0.02233083 -0.04657451 ...  0.03503261 -0.04944834
   0.02101891]
 [ 0.1022594  -0.01057256  0.02626241 ...  0.04535085 -0.07631783
   0.00296883]]"
2021_Agricultural_Insurance_Digital_Payments_Chall,78,"['National Agricultural Insurance Company of Senegal The National Agricultural Insurance Company of Senegal (CNAAS) is the result of a public-private partnership (PPP).', 'In addition to its “classic” insurance products, the CNAAS has been a leader in the development of so-called “index-based” insurance products.', 'World Food Programme The World Food Programme (WFP) is one of the United Nations bodies that aims to eradicate global hunger and malnutrition.', 'Nobel Peace Prize in 2020, the WFP is the world’s leading humanitarian organization fighting hunger, providing food aid in emergencies, and working with communities to improve nutrition and build resilience.', 'Sofrecom Sofrecom is a consulting and engineering firm, subsidiary of Orange Group, with a renowned expertise in telecommunications and digital financial services (DFS) sectors.', 'Cheikh is the Head of one of the 6 regional agencies of the National Agricultural Insurance Company of Senegal based in Tambacounda.', 'Every year in May, he spends long hours in the field to lead the annual awareness campaign towards corn farmers.', 'Producers themselves are sometimes unaware of the benefits of index-based insurance products.', 'He highlights the positive impact of such fieldwork: “this year, in a village, people were not eligible for this program, but they kept asking me if they would be able to join it.” However, in these remote rural areas, the challenges related to the program’s implementation are numerous.', 'Cheikh’s teams are forced to transport and deliver subscription forms in the field: “sometimes the agent is compelled to travel many kilometers for a single subscription”.', 'In addition to constraints related to the transportation and archiving of these forms, the follow-up of operations is difficult for agents: “a producer may tell me that he has subscribed and paid the insurance premium although in reality this is not the case.”', '© Mathieu Dubreuil Baldé is the chairman of a Producers Organization (PO) based in Kolda.', 'Baldé as a producer himself for several years now, is committed to defend the interests of his colleagues, which made him the head of the PO.', 'In partnership with the WFP and other stakeholders, the CNAAS has been leading the development of index-based insurance in Senegal.', 'The compensation payment is linked to an index often correlated to climatic data (i.e.', 'Collecting premiums, paid in cash by farmers, is tedious and fraught with difficulties.', 'While each village appoints a lead producer to centralize the collection of premiums, implementation is not always smooth.', '“Upon subscription, I have to go to the villages myself by motorcycle to collect premiums from latecomers.', 'The villages are far away, and I don’t have another way to get there quickly,” says Baldé.', 'More than 185.000 farmers were covered by the index-based insurance program offered by the CNAAS in 2020 (for an average premium of about 5.000 CFA francs paid by growers and approximately 200.000 CFA francs of insured capital per farmer).', 'While in Tambacounda, Cheikh, who receives the premiums collected by the POs at his CNAAS branch, is forced to store large amounts of cash.', 'He is apprehensive about these periods and fears for the safety of his team.', 'Agricultural production in the Sahel countries is highly affected by rainfall variations, which compromises the economic balance and food security of smallholder farmers.', 'In many countries, including Senegal, the WFP deploys the “R4” program (“Rural Resilience Initiative”) that aims to increase the resilience of producers by protecting their environment and reducing risks related to climate change; In Senegal, the WFP (through the Green Climate Fund (GCF)) and the Government collaborate to implement this integrated risk management approach which is based on 4 components: • Risk Reduction (resource management and production improvement), • Risk Transfer (index-based insurance),• Risk Retention (access to savings),• Calculated Risk (access to credit and revenue generation).', 'POs strive to collect the compensation amount: cashing out bank checks provided to them take some time and is cumbersome.', 'The process is also problematic for Cheikh: when a check is rejected, a new one must be issued from Dakar, the Senegalese capital, and compensation delays are lengthened accordingly.', 'Baldé explains that he fears his teams will be attacked on the road: “to compensate producers, we have to tour around villages on motorcycles, sometimes carrying more than 10 million CFA francs, which represents a great risk for us.” Moreover, producers’ communities are informed of the compensation payments by radio communication: “people can estimate the amount of money we’re carrying because we communicate the compensation amount per hectare in advance.” Omar SOW, Technical and Sales Director, CNAAS', 'In early 2020, the CNAAS was aware of the difficulties caused by cash payments and checks, and by the use of paper documents.', 'For that reason, it has set up an ambitious transformation program, supported by the WFP, its longtime partner, which is very involved in the digitalization of index-based insurance programs for rural populations.', 'For CNAAS, but also for its partners – POs and producers – the challenges of such a transformation are strategically important.', 'This team is joined by a team of consultants from Sofrecom, a consulting and engineering firm with a recognized expertise in digital financial services and digital transformation projects.', 'The team is responsible for studying how to dematerialize the payments and procedures of the index-based insurance program: the CNAAS plans to eventually acquire a solution that will allow it to digitalize its activities.', 'of the CNAAS’ insured producers own a mobile phone and less than half have a smartphone (CNAAS observations, 2020)', 'That will allow the project’s team to fully engage in the operational context of the program and to adopt a “user-centric” approach, which will best meet user expectations.', 'Hence, an empathy study (analysis of problems encountered by users) and a complete mapping of the user experience (analysis of user journeys and interactions with other actors) are conducted along with a major survey of users’ “pain points3”.', 'This work enables the team to draw key lessons that are critical in defining the transformation strategy: New payment model: a « phygital » approach • The PO plays a major hub role in the payment process (centralization of flows, collection of premiums, individual settlement of compensations to producers)', '• There are numerous “pain points” related to the program’s payment procedures which are sometimes acute (security risks, additional costs, delays mainly) In the second phase, the project team strives to design the ideal experience for the users of the forthcoming solution, being producers, POs, and CNAAS team.', 'Prior to this, Sofrecom creates several personae4: these fictional characters are at the heart of the design thinking methodology5.', '• The weak digitalization of payment-related information flows is the source of significant difficulties (loss of information, data reliability problems, delays, etc.)', '• Among all program stakeholders, the CNAAS and POs are the most exposed to the difficulties of a non-digitalized model', '• Although check payments facilitate the partial dematerialization of payment procedures, they also have multiple disadvantages: they cannot constitute a satisfactory alternative to cash payments 2 A method of designing a product whose development is guided primarily by the needs, expectations, and characteristics of the users.', 'Users are the individuals who the company or organization seeks to address their needs by providing a product or service.', 'For the CNAAS, these are external users (producer organization, producer, etc.)', 'Digitalizing the last mile can be challenging: only in exceptional cases do producers own bank accounts or accounts within microfinance institutions, making it impossible to make transfers.', 'During the ideation workshops led by Sofrecom, the project’s team creates a series of desired and high level payment journeys (details will be refined once the solution is selected).', 'These user journeys are designed accordingly with 4 main principles, adopted by the team: • A “phygital” approach (both physical and digital) is adopted to cope with producers’ limited access to digital tools: in addition to the digital journey, the human interface (with the PO) will be maintained © Mathieu Dubreuil • The PO, a trusted and close partner to producers, will keep a pivotal role in the digitalized process • Ideally, users (producers and POs) should be able to select their preferred payment method (the one they usually use)', 'Additional analyses carried out by Sofrecom show that digitalizing procedures can potentially neutralize the difficulties encountered by stakeholders.', 'Overall, about 75% of stakeholders’ “pain points” can be addressed and almost all of those directly related to payment can be solved.', 'Historically, the CNAAS has adopted a pragmatic IT approach.', 'It has made moderate investments and holds a limited number of technology assets, both software and hardware.', 'While the CNAAS digital transformation project initially aims to acquire a solution, the project’s team is exploring alternative approaches that would avoid excessive investment.', 'According to comparative analyses, payment solution providers using a “SaaS” (software as a service) model are best poised to implement the desired customer journeys.', 'Thus, subscription, collection and storage of insured members’ data, generation of reports, automated notifications and document signing are all functionalities offered by certain payment solution providers.', 'Most importantly, in this “SaaS” model, the initial investment is minimal to nil.', 'The solution already exists and is not developed specifically for the customer 3.', 'The provider is responsible for hosting the solution Similarly, the solution does not have to be installed on the client company’s servers.', 'This scenario, which offers the CNAAS the financial and operational flexibility desired, is favored by the team.', 'The initial strategy, consisting in investing in a solution, is thus redefined: the aim is now to procure payment services and have access to a “SaaS” solution.', 'Within the scope of the project, two main types of models for the digitalization of payment tools in SaaS can be considered.', 'In the first case – the single payment tool model – the digital partner is a mobile money or money transfer operator that provides users with its own payment tool (mobile money or money transfer).', 'In the second case – the multi-payment tool model – the digital partner is a payment aggregator.', 'In fact, the digitalization of payments provides abundant benefits to stakeholders offering this type of products: security and facilitation of payment procedures, operational savings, and even time savings are among the major advantages of such transformation programs.', 'While Sofrecom will be working on documenting all the requirements that will be presented to the different solutions providers, the CNAAS will be preparing to select the partner that will enable the success of its digital transformation.']","[[-0.10486121  0.05540396 -0.10022593 ... -0.07282002  0.05033591
   0.03509423]
 [-0.09386852  0.03587548 -0.02461226 ... -0.07139672  0.05917319
   0.11604457]
 [ 0.03467837 -0.02571003 -0.02226108 ... -0.08319312  0.03639851
  -0.01482434]
 ...
 [-0.08955452 -0.03035594 -0.06044978 ... -0.07043206  0.08075928
  -0.01900942]
 [-0.07246795  0.08632807 -0.03827657 ... -0.04888711  0.05340533
  -0.0415356 ]
 [-0.06716652 -0.00900901 -0.06494247 ... -0.03587558  0.08367275
   0.05906837]]"
